Season,Team,Wins,Losses,Ties,Seed
2021,Tampa Bay Buccaneers,13,4,0,1
2021,Dallas Cowboys,13,4,0,2
2021,Los Angeles Rams,12,5,0,3
2021,Arizona Cardinals,12,5,0,4
2021,San Francisco 49ers,11,6,0,5
2021,Philadelphia Eagles,10,7,0,6
2021,New Orleans Saints,9,8,0,7
2022,San Francisco 49ers,14,3,0,1
2022,Minnesota Vikings,13,4,0,2
2022,Tampa Bay Buccaneers,13,4,0,3
2022,Dallas Cowboys,8,9,0,4
2022,New York Giants,12,5,0,5
2022,Seattle Seahawks,9,7,1,6
2022,Detroit Lions,9,8,0,7
2023,Dallas Cowboys,12,5,0,1
2023,Detroit Lions,12,5,0,2
2023,Tampa Bay Buccaneers,12,5,0,3
2023,Philadelphia Eagles,9,8,0,4
2023,Los Angeles Rams,11,6,0,5
2023,Green Bay Packers,10,7,0,6
2023,Seattle Seahawks,9,8,0,7
